,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
0,11.042722,0.855407,0.023514,0.0,365.761902,334.965271,0.078737,0.743875,7.1e-05,37.61953,0.265507,13.804837,0.001514,0.166047,0.069005,1.184397,0.038764,0.124535,0.573511,0.544126,0.042033,0.041171,0.040552,18.606958,18.381495,17.961906,17.854782,18.250526,18.919447,17.913019,18.698025,18.290457,18.570824,17.757166,17.155558,18.481867,18.01972,18.401035,18.347601,17.823204,17.734449,18.119169,18.110781,18.101015,18.144133,17.911539,15.553184,16.643499,17.505486,17.983473,17.901636,18.106743,17.034012,17.838779,18.161991,17.128065,17.710785,17.761654,17.830015,17.795294,17.89782,17.472391,18.076683,18.148773,17.019073,17.927002,17.34127,20.121973,20.399521,21.301802,20.303196,19.932261,20.111324,20.059252,20.137117,20.833267
1,11.042638,0.855303,0.022889,0.0,365.638306,352.970459,0.07729,0.769382,7.1e-05,36.454971,0.25425,13.804837,0.00166,0.165994,0.067708,1.184343,0.038693,0.124556,0.573518,0.544119,0.042013,0.041125,0.040531,18.596775,18.375612,17.971563,17.866663,18.246672,18.91362,17.933407,18.712921,18.298439,18.564325,17.760914,17.145176,18.481239,18.008591,18.435425,18.39649,17.786068,17.747206,18.11401,18.099266,18.101015,18.147661,17.901041,15.554093,16.638723,17.502827,17.965618,17.889853,18.102667,17.071087,17.84823,18.1696,17.133774,17.729689,17.780468,17.830015,17.788958,17.892895,17.456118,18.080156,18.153944,17.03607,17.925446,17.334826,20.112381,20.395052,21.296061,20.327326,19.905935,20.103964,20.057545,20.129576,20.835932
2,11.04287,0.855167,0.032582,0.0,365.766602,353.305176,0.078561,0.720808,7.2e-05,35.205769,0.233289,13.804837,0.001765,0.165917,0.066325,1.184567,0.038556,0.12444,0.573491,0.543989,0.041902,0.041121,0.040443,18.60223,18.362463,17.971903,17.865082,18.244654,18.920237,17.920959,18.699911,18.294979,18.561565,17.758574,17.129187,18.484015,18.011705,18.381781,18.347601,17.840246,17.771137,18.111309,18.054626,18.101015,18.141285,17.907017,15.55585,16.643515,17.500454,17.983398,17.881226,18.117884,17.06979,17.84729,18.167536,17.139078,17.741417,17.761654,17.792519,17.789539,17.878832,17.464207,18.065762,18.144777,17.023575,17.925116,17.325727,20.107845,20.387899,21.299389,20.31188,19.932812,20.109478,20.054728,20.127306,20.836946
3,11.042726,0.855184,0.022889,0.0,364.313202,353.101074,0.078737,0.793977,7.1e-05,34.054108,0.265242,13.804837,0.001522,0.165909,0.064927,1.184578,0.038568,0.124304,0.573534,0.543953,0.041859,0.041038,0.040434,18.594324,18.354517,17.981108,17.847303,18.234528,18.907022,17.9217,18.702513,18.290327,18.562834,17.761547,17.147083,18.47839,18.012548,18.385189,18.347601,17.786068,17.770391,18.112123,18.054626,18.075937,18.143488,17.909573,15.544346,16.646961,17.503654,17.977205,17.873398,18.112263,17.113937,17.845598,18.164438,17.136101,17.685921,17.761654,17.773861,17.797955,17.874464,17.45598,18.080315,18.153561,17.027088,17.923325,17.330595,20.104813,20.39505,21.297012,20.357559,19.88571,20.115213,20.058846,20.146317,20.836784
4,11.042702,0.855244,0.022889,0.0,366.138031,353.82193,0.077402,0.757076,7.1e-05,32.717926,0.255704,13.804837,0.001965,0.165779,0.063652,1.184415,0.038533,0.12422,0.573577,0.543859,0.041819,0.040962,0.040331,18.591507,18.351259,17.987875,17.842936,18.234182,18.923321,17.927315,18.697243,18.288727,18.554485,17.756144,17.141947,18.480366,18.00259,18.394688,18.347601,17.827215,17.771488,18.105021,18.054626,18.044861,18.145006,17.91304,15.547637,16.639109,17.4981,17.962521,17.879686,18.102673,17.111223,17.848869,18.143604,17.123541,17.721056,17.761654,17.773861,17.803062,17.871847,17.466845,18.067863,18.148024,17.02562,17.923178,17.325506,20.10478,20.399418,21.294828,20.315962,19.921818,20.109737,20.053946,20.133911,20.829226
5,11.042823,0.855018,0.022889,0.0,365.180786,353.959686,0.078737,0.749656,7.1e-05,31.660158,0.235454,13.804837,0.001708,0.165722,0.062287,1.184165,0.038393,0.124163,0.573503,0.543804,0.041708,0.040831,0.040189,18.590525,18.360899,17.980648,17.837027,18.220463,18.911007,17.909336,18.701687,18.290483,18.561247,17.758324,17.146326,18.475805,18.01675,18.429625,18.347601,17.786068,17.764303,18.113974,18.054626,18.044861,18.139351,17.906277,15.55168,16.637297,17.495955,17.962029,17.883938,18.086765,17.11751,17.834356,18.151075,17.127495,17.70293,17.747246,17.773861,17.798365,17.869888,17.463785,18.073483,18.144291,17.014557,17.924955,17.324867,20.102093,20.395605,21.294052,20.306988,19.899183,20.104269,20.061327,20.140511,20.834415
6,11.042927,0.855096,0.022889,0.0,365.495636,354.058838,0.078363,0.756864,7.2e-05,30.611286,0.241462,13.804837,0.001753,0.165631,0.061163,1.18409,0.038332,0.124134,0.573496,0.543693,0.041681,0.040801,0.040137,18.577137,18.346493,17.993509,17.834791,18.220701,18.917009,17.918993,18.691551,18.2964,18.555534,17.757307,17.126751,18.477203,17.999907,18.381781,18.347601,17.786068,17.786608,18.108675,18.054626,18.044861,18.150249,17.893288,15.542481,16.638548,17.502153,17.992176,17.880177,18.110704,17.148132,17.835329,18.149799,17.12966,17.689367,17.705502,17.736845,17.808886,17.870564,17.459858,18.070887,18.147482,17.019657,17.92622,17.323393,20.095287,20.396166,21.292032,20.322361,19.922691,20.104794,20.05817,20.134708,20.838503
7,11.042636,0.855117,0.022889,0.0,365.68103,353.918396,0.078532,0.743868,7.1e-05,29.744251,0.230411,13.804837,0.001979,0.165613,0.06018,1.184202,0.03835,0.124102,0.573448,0.543678,0.041601,0.040741,0.040052,18.581694,18.348351,18.004524,17.829317,18.219059,18.922482,17.935749,18.697311,18.286667,18.56551,17.748344,17.146492,18.48432,18.003286,18.381781,18.347601,17.786068,17.864613,18.105497,18.054626,18.044861,18.139297,17.891132,15.539502,16.638428,17.492363,17.984327,17.87278,18.102863,17.164145,17.845806,18.153032,17.129246,17.708786,17.757883,17.769318,17.806154,17.85774,17.460047,18.069454,18.149027,17.010128,17.926689,17.325777,20.087225,20.395283,21.293261,20.306967,19.88571,20.106176,20.054884,20.128061,20.834166
8,11.042693,0.854963,0.022889,0.0,366.618927,354.012604,0.078483,0.750706,7.1e-05,29.068195,0.265507,13.804837,0.001678,0.165538,0.05929,1.183991,0.038176,0.123992,0.573478,0.543683,0.041636,0.040614,0.040004,18.581621,18.337328,18.001171,17.815681,18.212469,18.908741,17.941893,18.701193,18.290876,18.560492,17.75502,17.141447,18.476105,18.010597,18.381781,18.347601,17.786068,17.946957,18.091103,18.054626,18.044861,18.135424,17.888868,15.545327,16.640827,17.496309,17.964731,17.868368,18.098232,17.168142,17.8326,18.14982,17.121897,17.710026,17.751535,17.717709,17.810202,17.865913,17.46434,18.074734,18.135473,17.014301,17.918655,17.324434,20.100971,20.388802,21.297682,20.35885,19.911074,20.10437,20.056778,20.133701,20.836794
9,11.042977,0.855135,0.029966,0.0,365.500366,353.831421,0.077035,0.745355,7.2e-05,28.562956,0.265507,13.804837,0.00179,0.165537,0.058722,1.18353,0.038134,0.123945,0.573429,0.543473,0.041523,0.040587,0.039967,18.579884,18.331429,18.011126,17.808687,18.210176,18.906807,17.923874,18.707712,18.286821,18.562077,17.753078,17.140999,18.479727,18.002476,18.381781,18.347601,17.786068,17.964319,18.084108,18.054626,18.031481,18.129362,17.889271,15.545269,16.645538,17.493414,17.985056,17.871393,18.100826,17.19985,17.840811,18.135571,17.124161,17.712261,17.705502,17.753733,17.822378,17.870384,17.458168,18.068518,18.138491,17.010958,17.921345,17.323172,20.091888,20.39304,21.28713,20.303196,19.88571,20.101183,20.05402,20.133112,20.832037
